type,at,date,event
TimelineChart.TYPE.POINT,"new Date([2016, 2, 22])","February 22, 2016","Charlotte City Council adds LGBT protections to the city's nondiscrimination orfinance, granting protection in places of ""public accomodation."""
TimelineChart.TYPE.POINT,"new Date([2016, 2, 23])","February 23, 2016","N.C. House Speaker Tim Moore calls for legislative action, focusing on ""the bathrooom piece"" of Charlotte's ordinance."
TimelineChart.TYPE.POINT,"new Date([2016, 3, 21])","March 21, 2016","Agaisnt the wishes of N.C. Gov. Pat McCrory, lawmakers call a special session to discuss the ordinance."
TimelineChart.TYPE.POINT,"new Date([2016, 3, 23])","March 23, 2016","The N.C. General Assembly passes HB2 - the ""bathroom bill."" McCrory signs it into law that night."
TimelineChart.TYPE.POINT,"new Date([2016, 3, 29])","March 29, 2016","The American Civil Liberties Union and other parties file a lawsuit asking the courts to overturn HB2, challending the law's constitutionality. "
TimelineChart.TYPE.POINT,"new Date([2016, 4, 12])","April 12, 2016","Amid pressure, McCrory signs an executive order preventing state employees from being fired or disciplined for being gay or transgender. "
TimelineChart.TYPE.POINT,"new Date([2016, 4, 8])","April 8, 2016","Bruce Springsteen canceled his show in Greensboro, N.C."
TimelineChart.TYPE.POINT,"new Date([2016, 4, 18])","April 18, 2016","Pearl Jam canceled their Raleigh, N.C.  Show."
TimelineChart.TYPE.POINT,"new Date([2016, 4, 15])","April 15, 2016",Cirque du Soleil canceled their Greensboro and Charlotte shows.
TimelineChart.TYPE.POINT,"new Date([2016, 3, 31])","March 31, 2016","Stephen Schwartz said he will no longer allow his musicals, which include top-hit ""Wicked,"" sto be performed in N.C."
TimelineChart.TYPE.POINT,"new Date([2016, 4, 4])","April 4, 2016",Lionsgate moved the location of their upcoming tv show production set from Charlotte to Canada.
